English,URL,Russian,Spanish,Deutsch,Czech
defend,https://www.oxfordlearnersdictionaries.com/definition/english/defend,защищать,defender,verteidigen,hájit
defender,https://www.oxfordlearnersdictionaries.com/definition/english/defender,защитник,defensor,Verteidiger,obránce
delay,https://www.oxfordlearnersdictionaries.com/definition/english/delay_1,задерживать,demora,Verzögerung,zpoždění
delay,https://www.oxfordlearnersdictionaries.com/definition/english/delay_2,задерживать,demora,Verzögerung,zpoždění
delete,https://www.oxfordlearnersdictionaries.com/definition/english/delete_1,Удалить,Eliminar,löschen,vymazat
deliberate,https://www.oxfordlearnersdictionaries.com/definition/english/deliberate_1,преднамеренный,deliberar,absichtlich,záměrný
deliberately,https://www.oxfordlearnersdictionaries.com/definition/english/deliberately,умышленно,deliberadamente,bewusst,záměrně
delight,https://www.oxfordlearnersdictionaries.com/definition/english/delight_1,восторг,deleite,Genuss,rozkoš
delight,https://www.oxfordlearnersdictionaries.com/definition/english/delight_2,восторг,deleite,Genuss,rozkoš
delighted,https://www.oxfordlearnersdictionaries.com/definition/english/delighted,получивший удовольствие,contento,erfreut,potěšen
delivery,https://www.oxfordlearnersdictionaries.com/definition/english/delivery,Доставка,entrega,Lieferung,dodávka
demand,https://www.oxfordlearnersdictionaries.com/definition/english/demand_1,требование,demanda,Anforderung,poptávka
demand,https://www.oxfordlearnersdictionaries.com/definition/english/demand_2,требование,demanda,Anforderung,poptávka
democracy,https://www.oxfordlearnersdictionaries.com/definition/english/democracy,демократия,democracia,Demokratie,demokracie
democratic,https://www.oxfordlearnersdictionaries.com/definition/english/democratic,демократический,democrático,demokratisch,demokratický
demonstrate,https://www.oxfordlearnersdictionaries.com/definition/english/demonstrate,продемонстрировать,demostrar,zeigen,prokázat
demonstration,https://www.oxfordlearnersdictionaries.com/definition/english/demonstration,демонстрация,demostración,Demonstration,demonstrace
deny,https://www.oxfordlearnersdictionaries.com/definition/english/deny,отказываться от,negar,aberkennen,odmítnout
depart,https://www.oxfordlearnersdictionaries.com/definition/english/depart,отходить,salir,abfliegen,odejít
dependent,https://www.oxfordlearnersdictionaries.com/definition/english/dependent_1,зависимый,dependiente,abhängig,závislý
deposit,https://www.oxfordlearnersdictionaries.com/definition/english/deposit_1,депозит,depositar,Anzahlung,vklad
depressed,https://www.oxfordlearnersdictionaries.com/definition/english/depressed,депрессия,Deprimido,deprimiert,deprimovaný
depressing,https://www.oxfordlearnersdictionaries.com/definition/english/depressing,депрессивный,deprimente,deprimierend,depresivní
depression,https://www.oxfordlearnersdictionaries.com/definition/english/depression,депрессия,depresión,Depression,Deprese
depth,https://www.oxfordlearnersdictionaries.com/definition/english/depth,глубина,profundidad,Tiefe,hloubka
derive,https://www.oxfordlearnersdictionaries.com/definition/english/derive,вывести,derivar,ableiten,odvodit
desert,https://www.oxfordlearnersdictionaries.com/definition/english/desert_2,пустыня,Desierto,Wüste,poušť
deserve,https://www.oxfordlearnersdictionaries.com/definition/english/deserve,заслуживать,merecer,verdienen,zasloužit si
desire,https://www.oxfordlearnersdictionaries.com/definition/english/desire_1,желание,deseo,Verlangen,touha
desire,https://www.oxfordlearnersdictionaries.com/definition/english/desire_2,желание,deseo,Verlangen,touha
desperate,https://www.oxfordlearnersdictionaries.com/definition/english/desperate,отчаянный,desesperado,verzweifelt,zoufalý
desperately,https://www.oxfordlearnersdictionaries.com/definition/english/desperately,отчаянно,desesperadamente,verzweifelt,zoufale
destruction,https://www.oxfordlearnersdictionaries.com/definition/english/destruction,разрушение,destrucción,Zerstörung,zničení
detail,https://www.oxfordlearnersdictionaries.com/definition/english/detail_2,деталь,detalle,Detail,detail
detailed,https://www.oxfordlearnersdictionaries.com/definition/english/detailed,подробный,detallado,detailliert,detailní
detect,https://www.oxfordlearnersdictionaries.com/definition/english/detect,обнаружить,detectar,erkennen,zjistit
determination,https://www.oxfordlearnersdictionaries.com/definition/english/determination,определение,determinación,Festlegung,odhodlání
devote,https://www.oxfordlearnersdictionaries.com/definition/english/devote,посвятить,dedicar,widmen,věnovat
differ,https://www.oxfordlearnersdictionaries.com/definition/english/differ,отличаться,diferir de,sich unterscheiden,lišit
dig,https://www.oxfordlearnersdictionaries.com/definition/english/dig_1,копать,cavar,graben,kopat
disability,https://www.oxfordlearnersdictionaries.com/definition/english/disability,инвалидность,discapacidad,Behinderung,postižení
disabled,https://www.oxfordlearnersdictionaries.com/definition/english/disabled,инвалид,discapacitado,behindert,zakázáno
disagreement,https://www.oxfordlearnersdictionaries.com/definition/english/disagreement,несогласие,desacuerdo,Uneinigkeit,nesouhlas
disappoint,https://www.oxfordlearnersdictionaries.com/definition/english/disappoint,разочаровать,decepcionar,enttäuschen,zklamat
disappointment,https://www.oxfordlearnersdictionaries.com/definition/english/disappointment,разочарование,decepción,Enttäuschung,zklamání
disc,https://www.oxfordlearnersdictionaries.com/definition/english/disc,диск,Dto,Rabatt,disk
discipline,https://www.oxfordlearnersdictionaries.com/definition/english/discipline_1,дисциплина,disciplina,Disziplin,disciplína
discount,https://www.oxfordlearnersdictionaries.com/definition/english/discount_2,скидка,descuento,Rabatt,sleva
discourage,https://www.oxfordlearnersdictionaries.com/definition/english/discourage,обескуражить,desalentar,entmutigen,odradit
dishonest,https://www.oxfordlearnersdictionaries.com/definition/english/dishonest,нечестный,deshonesto,unehrlich,nečestný
disk,https://www.oxfordlearnersdictionaries.com/definition/english/disk,диск,disco,Scheibe,disk
dismiss,https://www.oxfordlearnersdictionaries.com/definition/english/dismiss,увольнять,despedir,zurückweisen,zavrhnout
disorder,https://www.oxfordlearnersdictionaries.com/definition/english/disorder,беспорядок,trastorno,Störung,porucha
display,https://www.oxfordlearnersdictionaries.com/definition/english/display_2,отображать,monitor,Anzeige,Zobrazit
display,https://www.oxfordlearnersdictionaries.com/definition/english/display_1,отображать,monitor,Anzeige,Zobrazit
distant,https://www.oxfordlearnersdictionaries.com/definition/english/distant,далекий,distante,entfernt,vzdálený
distinct,https://www.oxfordlearnersdictionaries.com/definition/english/distinct,отчетливый,distinto,unterscheidbar,odlišný
distinguish,https://www.oxfordlearnersdictionaries.com/definition/english/distinguish,выделить,distinguir,unterscheiden,rozlišovat
distract,https://www.oxfordlearnersdictionaries.com/definition/english/distract,отвлекать,distraer,ablenken,rozptýlit
distribute,https://www.oxfordlearnersdictionaries.com/definition/english/distribute,распределять,distribuir,verteilen,distribuovat
distribution,https://www.oxfordlearnersdictionaries.com/definition/english/distribution,распределение,distribución,Verteilung,rozdělení
district,https://www.oxfordlearnersdictionaries.com/definition/english/district,округ,distrito,Bezirk,okres
disturb,https://www.oxfordlearnersdictionaries.com/definition/english/disturb,беспокоить,molestar,stören,rušit
dive,https://www.oxfordlearnersdictionaries.com/definition/english/dive_2,нырять,bucear,tauchen,potápět se
dive,https://www.oxfordlearnersdictionaries.com/definition/english/dive_1,нырять,bucear,tauchen,potápět se
diverse,https://www.oxfordlearnersdictionaries.com/definition/english/diverse,разнообразный,diverso,vielfältig,rozmanité
diversity,https://www.oxfordlearnersdictionaries.com/definition/english/diversity,разнообразие,diversidad,Diversität,rozmanitost
divide,https://www.oxfordlearnersdictionaries.com/definition/english/divide_2,разделять,dividir,Teilen,rozdělit
division,https://www.oxfordlearnersdictionaries.com/definition/english/division,разделение,división,Teilung,divize
divorce,https://www.oxfordlearnersdictionaries.com/definition/english/divorce_1,развод,divorcio,scheiden lassen,rozvod
divorce,https://www.oxfordlearnersdictionaries.com/definition/english/divorce_2,развод,divorcio,scheiden lassen,rozvod
document,https://www.oxfordlearnersdictionaries.com/definition/english/document_2,документ,documento,dokumentieren,dokument
domestic,https://www.oxfordlearnersdictionaries.com/definition/english/domestic_1,одомашненный,Doméstico,inländisch,domácí
dominant,https://www.oxfordlearnersdictionaries.com/definition/english/dominant,доминирующий,dominante,Dominant,dominantní
dominate,https://www.oxfordlearnersdictionaries.com/definition/english/dominate,доминировать,dominar,dominieren,ovládat
donation,https://www.oxfordlearnersdictionaries.com/definition/english/donation,пожертвование,donación,Spende,dar
dot,https://www.oxfordlearnersdictionaries.com/definition/english/dot_1,точка,punto,Punkt,tečka
downtown,https://www.oxfordlearnersdictionaries.com/definition/english/downtown_2,центр города,centro,Innenstadt,v centru města
downtown,https://www.oxfordlearnersdictionaries.com/definition/english/downtown_1,центр города,centro,Innenstadt,v centru města
downtown,https://www.oxfordlearnersdictionaries.com/definition/english/downtown_3,центр города,centro,Innenstadt,v centru města
downwards,https://www.oxfordlearnersdictionaries.com/definition/english/downwards,вниз,hacia abajo,nach unten,dolů
dozen,https://www.oxfordlearnersdictionaries.com/definition/english/dozen,дюжина,docena,Dutzend,tucet
dozen,https://www.oxfordlearnersdictionaries.com/definition/english/dozen,дюжина,docena,Dutzend,tucet
draft,https://www.oxfordlearnersdictionaries.com/definition/english/draft_1,черновик,sequía,Entwurf,návrh
draft,https://www.oxfordlearnersdictionaries.com/definition/english/draft_2,черновик,sequía,Entwurf,návrh
drag,https://www.oxfordlearnersdictionaries.com/definition/english/drag_1,тяга,arrastrar,ziehen,táhnout
dramatic,https://www.oxfordlearnersdictionaries.com/definition/english/dramatic,драматический,dramático,dramatisch,dramatický
dramatically,https://www.oxfordlearnersdictionaries.com/definition/english/dramatically,драматично,dramáticamente,dramatisch,dramaticky
drought,https://www.oxfordlearnersdictionaries.com/definition/english/drought,засуха,sequía,Trockenheit,sucho
dull,https://www.oxfordlearnersdictionaries.com/definition/english/dull_1,тупой,tedioso,langweilig,nudný
dump,https://www.oxfordlearnersdictionaries.com/definition/english/dump_1,свалка,vertedero,entsorgen,skládka
duration,https://www.oxfordlearnersdictionaries.com/definition/english/duration,продолжительность,duración,Dauer,doba trvání
dynamic,https://www.oxfordlearnersdictionaries.com/definition/english/dynamic_1,динамичный,dinámica,dynamisch,dynamický
economics,https://www.oxfordlearnersdictionaries.com/definition/english/economics,экономика,ciencias económicas,Wirtschaft,ekonomika
economist,https://www.oxfordlearnersdictionaries.com/definition/english/economist,экономист,economista,Ökonom,ekonom
edit,https://www.oxfordlearnersdictionaries.com/definition/english/edit_2,редактировать,editar,bearbeiten,Upravit
edition,https://www.oxfordlearnersdictionaries.com/definition/english/edition,версия,edición,Auflage,edice
editorial,https://www.oxfordlearnersdictionaries.com/definition/english/editorial_1,редакционный,editorial,redaktionell,redakční
efficient,https://www.oxfordlearnersdictionaries.com/definition/english/efficient,эффективный,eficiente,effizient,účinný
efficiently,https://www.oxfordlearnersdictionaries.com/definition/english/efficiently,эффективно,eficientemente,effizient,efektivně
elbow,https://www.oxfordlearnersdictionaries.com/definition/english/elbow_1,локоть,codo,Ellbogen,loket
elderly,https://www.oxfordlearnersdictionaries.com/definition/english/elderly,пожилой,anciano,Alten,starší
elect,https://www.oxfordlearnersdictionaries.com/definition/english/elect_1,избирать,electo,wählen,zvolit
electronics,https://www.oxfordlearnersdictionaries.com/definition/english/electronics,электроника,electrónica,Elektronik,elektronika
elegant,https://www.oxfordlearnersdictionaries.com/definition/english/elegant,элегантный,elegante,elegant,elegantní
elementary,https://www.oxfordlearnersdictionaries.com/definition/english/elementary,элементарный,elemental,elementar,základní
eliminate,https://www.oxfordlearnersdictionaries.com/definition/english/eliminate,Устранить,eliminar,beseitigen,odstranit
elsewhere,https://www.oxfordlearnersdictionaries.com/definition/english/elsewhere,в другом месте,en otra parte,anderswo,někde jinde
embrace,https://www.oxfordlearnersdictionaries.com/definition/english/embrace_2,объятие,abarcar,umarmen,objetí
emerge,https://www.oxfordlearnersdictionaries.com/definition/english/emerge,появляться,surgir,auftauchen,vynořit se
emission,https://www.oxfordlearnersdictionaries.com/definition/english/emission,эмиссия,emisión,Emission,emise
emotional,https://www.oxfordlearnersdictionaries.com/definition/english/emotional,эмоциональный,emocional,emotional,emocionální
emotionally,https://www.oxfordlearnersdictionaries.com/definition/english/emotionally,эмоционально,emocionalmente,emotional,citově
emphasis,https://www.oxfordlearnersdictionaries.com/definition/english/emphasis,акцент,énfasis,Betonung,důraz
emphasize,https://www.oxfordlearnersdictionaries.com/definition/english/emphasize,подчеркивать,enfatizar,betonen,zdůraznit
empire,https://www.oxfordlearnersdictionaries.com/definition/english/empire,империя,imperio,Reich,říše
enable,https://www.oxfordlearnersdictionaries.com/definition/english/enable,включить,permitir,ermöglichen,umožnit
encounter,https://www.oxfordlearnersdictionaries.com/definition/english/encounter_2,сталкиваться,encuentro,begegnen,setkání
encounter,https://www.oxfordlearnersdictionaries.com/definition/english/encounter_1,сталкиваться,encuentro,begegnen,setkání
engage,https://www.oxfordlearnersdictionaries.com/definition/english/engage,привлекать,comprometerse,einsetzen,zapojit
enhance,https://www.oxfordlearnersdictionaries.com/definition/english/enhance,усилить,mejorar,erweitern,zlepšit
enjoyable,https://www.oxfordlearnersdictionaries.com/definition/english/enjoyable,приятный,agradable,angenehm,příjemný
enquiry,https://www.oxfordlearnersdictionaries.com/definition/english/enquiry,расследование,consulta,Anfrage,poptávka
ensure,https://www.oxfordlearnersdictionaries.com/definition/english/ensure,гарантировать,garantizar,sicherstellen,zajistit
entertaining,https://www.oxfordlearnersdictionaries.com/definition/english/entertaining,развлекательный,entretenido,unterhaltsam,zábavný
enthusiasm,https://www.oxfordlearnersdictionaries.com/definition/english/enthusiasm,энтузиазм,entusiasmo,Begeisterung,nadšení
enthusiastic,https://www.oxfordlearnersdictionaries.com/definition/english/enthusiastic,восторженный,entusiasta,enthusiastisch,nadšený
entire,https://www.oxfordlearnersdictionaries.com/definition/english/entire,весь,completo,gesamte,celý
entirely,https://www.oxfordlearnersdictionaries.com/definition/english/entirely,полностью,enteramente,ganz,zcela
entrepreneur,https://www.oxfordlearnersdictionaries.com/definition/english/entrepreneur,предприниматель,empresario,Unternehmer,podnikatel
envelope,https://www.oxfordlearnersdictionaries.com/definition/english/envelope,конверт,sobre,Umschlag,obálka
equal,https://www.oxfordlearnersdictionaries.com/definition/english/equal_3,равный,igual,gleich,rovnat se
equip,https://www.oxfordlearnersdictionaries.com/definition/english/equip,оборудовать,equipar,ausrüsten,vybavit
equivalent,https://www.oxfordlearnersdictionaries.com/definition/english/equivalent_2,эквивалент,equivalente,gleichwertig,ekvivalent
equivalent,https://www.oxfordlearnersdictionaries.com/definition/english/equivalent_1,эквивалент,equivalente,gleichwertig,ekvivalent
era,https://www.oxfordlearnersdictionaries.com/definition/english/era,эпоха,era,Epoche,éra
erupt,https://www.oxfordlearnersdictionaries.com/definition/english/erupt,извергаться,estallar ,ausbrechen ,vybuchnout 
essentially,https://www.oxfordlearnersdictionaries.com/definition/english/essentially,по сути,esencialmente,im Wesentlichen,v podstatě
establish,https://www.oxfordlearnersdictionaries.com/definition/english/establish,учреждать,establecer,Gründen,založit
estate,https://www.oxfordlearnersdictionaries.com/definition/english/estate,имущество,inmuebles,Anwesen,majetek
estimate,https://www.oxfordlearnersdictionaries.com/definition/english/estimate_2,оценить,estimar,schätzen,odhad
estimate,https://www.oxfordlearnersdictionaries.com/definition/english/estimate_1,оценить,estimar,schätzen,odhad
ethic,https://www.oxfordlearnersdictionaries.com/definition/english/ethic,этика,principio moral,Ethik,etický
ethical,https://www.oxfordlearnersdictionaries.com/definition/english/ethical,этический,ético,ethisch,etický
ethnic,https://www.oxfordlearnersdictionaries.com/definition/english/ethnic_1,этнический,étnico,ethnisch,etnický
evaluate,https://www.oxfordlearnersdictionaries.com/definition/english/evaluate,оценивать,evaluar,auswerten,hodnotit
evaluation,https://www.oxfordlearnersdictionaries.com/definition/english/evaluation,оценка,evaluación,Auswertung,hodnocení
even,https://www.oxfordlearnersdictionaries.com/definition/english/even_2,четное,incluso,auch,dokonce
evident,https://www.oxfordlearnersdictionaries.com/definition/english/evident,очевидный,evidente,offensichtlich,evidentní
evil,https://www.oxfordlearnersdictionaries.com/definition/english/evil_1,зло,mal,böse,zlo
evil,https://www.oxfordlearnersdictionaries.com/definition/english/evil_2,зло,mal,böse,zlo
evolution,https://www.oxfordlearnersdictionaries.com/definition/english/evolution,эволюция,evolución,Evolution,vývoj
evolve,https://www.oxfordlearnersdictionaries.com/definition/english/evolve,эволюционировать,evolucionar,sich entwickeln,rozvíjet se
examination,https://www.oxfordlearnersdictionaries.com/definition/english/examination,экзамен,examen,Untersuchung,zkouška
exceed,https://www.oxfordlearnersdictionaries.com/definition/english/exceed,превосходить,exceder,überschreiten,překročit
exception,https://www.oxfordlearnersdictionaries.com/definition/english/exception,исключение,excepción,Ausnahme,výjimka
excessive,https://www.oxfordlearnersdictionaries.com/definition/english/excessive,излишний,excesivo,übertrieben,nadměrný
exclude,https://www.oxfordlearnersdictionaries.com/definition/english/exclude,исключать,excluir,ausschließen,vyloučit
excuse,https://www.oxfordlearnersdictionaries.com/definition/english/excuse_1,извинение,excusa,Ausrede,výmluva
excuse,https://www.oxfordlearnersdictionaries.com/definition/english/excuse_2,извинение,excusa,Ausrede,výmluva
executive,https://www.oxfordlearnersdictionaries.com/definition/english/executive_2,исполнительный,ejecutivo,Exekutive,výkonný
executive,https://www.oxfordlearnersdictionaries.com/definition/english/executive_1,исполнительный,ejecutivo,Exekutive,výkonný
exhibit,https://www.oxfordlearnersdictionaries.com/definition/english/exhibit_2,экспонат,exposición,Ausstellungsstück,exponát
exhibit,https://www.oxfordlearnersdictionaries.com/definition/english/exhibit_1,экспонат,exposición,Ausstellungsstück,exponát
existence,https://www.oxfordlearnersdictionaries.com/definition/english/existence,существование,existencia,Existenz,existence
exit,https://www.oxfordlearnersdictionaries.com/definition/english/exit_1,выход,Salida,Ausfahrt,výstup
exotic,https://www.oxfordlearnersdictionaries.com/definition/english/exotic,экзотический,exótico,exotisch,exotický
expansion,https://www.oxfordlearnersdictionaries.com/definition/english/expansion,расширение,expansión,Erweiterung,rozšíření
expectation,https://www.oxfordlearnersdictionaries.com/definition/english/expectation,ожидание,expectativa,Erwartung,očekávání
expense,https://www.oxfordlearnersdictionaries.com/definition/english/expense,расход,gastos,Kosten,výdaj
expertise,https://www.oxfordlearnersdictionaries.com/definition/english/expertise,экспертиза,pericia,Sachverstand,odbornost
exploit,https://www.oxfordlearnersdictionaries.com/definition/english/exploit_1,использовать,explotar,Ausbeuten,využívat
exploration,https://www.oxfordlearnersdictionaries.com/definition/english/exploration,исследование,exploración,Erkundung,průzkum
expose,https://www.oxfordlearnersdictionaries.com/definition/english/expose_1,разоблачать,exponer,exponieren,odhalit
exposure,https://www.oxfordlearnersdictionaries.com/definition/english/exposure,воздействие,exposición,Exposition,vystavení
extend,https://www.oxfordlearnersdictionaries.com/definition/english/extend,продлевать,ampliar,erweitern,rozšířit
extension,https://www.oxfordlearnersdictionaries.com/definition/english/extension,расширение,extensión,Verlängerung,rozšíření
extensive,https://www.oxfordlearnersdictionaries.com/definition/english/extensive,обширный,extenso,umfangreich,rozsáhlý
extensively,https://www.oxfordlearnersdictionaries.com/definition/english/extensively,экстенсивно,extensamente,ausführlich,rozsáhle
extent,https://www.oxfordlearnersdictionaries.com/definition/english/extent,степень,grado,Ausmaß,rozsah
external,https://www.oxfordlearnersdictionaries.com/definition/english/external,внешний,externo,extern,externí
extract,https://www.oxfordlearnersdictionaries.com/definition/english/extract_1,извлекать,extraer,Extrakt,výpis
extraordinary,https://www.oxfordlearnersdictionaries.com/definition/english/extraordinary,экстраординарный,extraordinario,außerordentlich,mimořádný
extreme,https://www.oxfordlearnersdictionaries.com/definition/english/extreme_2,крайний,extremo,extrem,extrémní
fabric,https://www.oxfordlearnersdictionaries.com/definition/english/fabric,ткань,tela,Stoff,tkanina
fabulous,https://www.oxfordlearnersdictionaries.com/definition/english/fabulous,поразительнй,fabuloso,fabelhaft,báječný
facility,https://www.oxfordlearnersdictionaries.com/definition/english/facility,средство,instalaciones,Einrichtung,zařízení
failed,https://www.oxfordlearnersdictionaries.com/definition/english/failed,не удалось,fallido,fehlgeschlagen,nepodařilo
failure,https://www.oxfordlearnersdictionaries.com/definition/english/failure,отказ,falla,Versagen,selhání
faith,https://www.oxfordlearnersdictionaries.com/definition/english/faith_1,Вера,fe,Vertrauen,víra
fake,https://www.oxfordlearnersdictionaries.com/definition/english/fake_1,подделка,falso,gefälscht,falešný
fame,https://www.oxfordlearnersdictionaries.com/definition/english/fame,слава,fama,Ruhm,sláva
fantasy,https://www.oxfordlearnersdictionaries.com/definition/english/fantasy,фантазия,fantasía,Fantasie,fantazie
fare,https://www.oxfordlearnersdictionaries.com/definition/english/fare_1,транспортные расходы,tarifa,Fahrpreis,jízdné
fault,https://www.oxfordlearnersdictionaries.com/definition/english/fault_1,вина,culpa,Fehler,chyba
favour,https://www.oxfordlearnersdictionaries.com/definition/english/favour_2,услуга,favor,Gefallen,laskavost
feather,https://www.oxfordlearnersdictionaries.com/definition/english/feather_1,пух Перо,pluma,Feder,Pírko
federal,https://www.oxfordlearnersdictionaries.com/definition/english/federal,федеральный,federal,föderal,federální
fee,https://www.oxfordlearnersdictionaries.com/definition/english/fee,платеж,tarifa,Gebühr,poplatek
feed,https://www.oxfordlearnersdictionaries.com/definition/english/feed_2,подача,alimentación,Futter,krmit
feedback,https://www.oxfordlearnersdictionaries.com/definition/english/feedback,Обратная связь,reacción,Rückmeldung,zpětná vazba
feel,https://www.oxfordlearnersdictionaries.com/definition/english/feel_2,Чувствовать,sentir,fühlen,cítit
fellow,https://www.oxfordlearnersdictionaries.com/definition/english/fellow_1,парень,compañero,Geselle,chlapík
fever,https://www.oxfordlearnersdictionaries.com/definition/english/fever,высокая температура,fiebre,Fieber,horečka
figure,https://www.oxfordlearnersdictionaries.com/definition/english/figure_2,фигура,figura,Zahl,postava
file,https://www.oxfordlearnersdictionaries.com/definition/english/file_2,файл,Archivo,Datei,soubor
finance,https://www.oxfordlearnersdictionaries.com/definition/english/finance_1,финансы,Finanzas,Finanzen,finance
finance,https://www.oxfordlearnersdictionaries.com/definition/english/finance_2,финансы,Finanzas,Finanzen,finance
finding,https://www.oxfordlearnersdictionaries.com/definition/english/finding,найти,hallazgo,finden,nález
firefighter,https://www.oxfordlearnersdictionaries.com/definition/english/firefighter,пожарный,bombero,Feuerwehrmann,hasič
firework,https://www.oxfordlearnersdictionaries.com/definition/english/firework,салют,Fuegos artificiales,Feuerwerk,ohňostroj
firm,https://www.oxfordlearnersdictionaries.com/definition/english/firm_2,фирма,firma,Feste,firma
firm,https://www.oxfordlearnersdictionaries.com/definition/english/firm_1,фирма,firma,Feste,firma
firmly,https://www.oxfordlearnersdictionaries.com/definition/english/firmly,твердо,firmemente,fest,pevně
fix,https://www.oxfordlearnersdictionaries.com/definition/english/fix_2,исправить,arreglar,Fix,opravit
flame,https://www.oxfordlearnersdictionaries.com/definition/english/flame_1,пламя,fuego,Flamme,plamen
flash,https://www.oxfordlearnersdictionaries.com/definition/english/flash_1,вспышка,destello,Blitz,blikat
flash,https://www.oxfordlearnersdictionaries.com/definition/english/flash_2,вспышка,destello,Blitz,blikat
flavour,https://www.oxfordlearnersdictionaries.com/definition/english/flavour_1,вкус,sabor,Geschmack,příchuť
flexible,https://www.oxfordlearnersdictionaries.com/definition/english/flexible,гибкий,flexible,flexibel,flexibilní
float,https://www.oxfordlearnersdictionaries.com/definition/english/float_1,плавать,flotador,schweben,plovák
fold,https://www.oxfordlearnersdictionaries.com/definition/english/fold_3,складывать,pliegue,falten,složit
folding,https://www.oxfordlearnersdictionaries.com/definition/english/folding,складной,plegable,Falten,skládací
following,https://www.oxfordlearnersdictionaries.com/definition/english/following_3,следующий,siguiente,folgende,Následující
fond,https://www.oxfordlearnersdictionaries.com/definition/english/fond,любит,aficionado,gern,rád
fool,https://www.oxfordlearnersdictionaries.com/definition/english/fool_1,дурак,tonto,Dummkopf,blázen
forbid,https://www.oxfordlearnersdictionaries.com/definition/english/forbid,запрещать,prohibir,verbieten,zakázat
forecast,https://www.oxfordlearnersdictionaries.com/definition/english/forecast_1,прогноз,pronóstico,Vorhersage,předpověď
forecast,https://www.oxfordlearnersdictionaries.com/definition/english/forecast_2,форека ,pronóstico,Vorhersage,předpověď
forgive,https://www.oxfordlearnersdictionaries.com/definition/english/forgive,простить,perdonar,verzeihen,odpustit
format,https://www.oxfordlearnersdictionaries.com/definition/english/format_1,формат,formato,Format,formát
formation,https://www.oxfordlearnersdictionaries.com/definition/english/formation,формирование,formación,Formation,formace
former,https://www.oxfordlearnersdictionaries.com/definition/english/former_1,бывший,anterior,ehemalige,bývalý
formerly,https://www.oxfordlearnersdictionaries.com/definition/english/formerly,раньше,antes,früher,dříve
fortunate,https://www.oxfordlearnersdictionaries.com/definition/english/fortunate,повезло,afortunado,glücklich,štěstí
fortune,https://www.oxfordlearnersdictionaries.com/definition/english/fortune,удача,fortuna,Reichtum,štěstí
forum,https://www.oxfordlearnersdictionaries.com/definition/english/forum,Форум,foro,Forum,Fórum
forward,https://www.oxfordlearnersdictionaries.com/definition/english/forward_2,вперед,adelante,nach vorne,vpřed
fossil,https://www.oxfordlearnersdictionaries.com/definition/english/fossil,ископаемое,fósil,Fossil,fosilní
found,https://www.oxfordlearnersdictionaries.com/definition/english/found,нашел,fundar,gefunden,nalezeno
foundation,https://www.oxfordlearnersdictionaries.com/definition/english/foundation,Фонд,Fundación,Stiftung,nadace
founder,https://www.oxfordlearnersdictionaries.com/definition/english/founder_1,основатель,fundador,Gründer,zakladatel
fraction,https://www.oxfordlearnersdictionaries.com/definition/english/fraction,дробная часть,fracción,Fraktion,zlomek
fragment,https://www.oxfordlearnersdictionaries.com/definition/english/fragment_1,фрагмент,fragmento,Fragment,fragment
framework,https://www.oxfordlearnersdictionaries.com/definition/english/framework,рамки,marco de referencia,Rahmen,rámec
fraud,https://www.oxfordlearnersdictionaries.com/definition/english/fraud,мошенничество,fraude,Betrug,podvod
free,https://www.oxfordlearnersdictionaries.com/definition/english/free_3,бесплатно,gratis,kostenlos,"volný, uvolnit"
freedom,https://www.oxfordlearnersdictionaries.com/definition/english/freedom,Свобода,libertad,Freiheit,svoboda
freely,https://www.oxfordlearnersdictionaries.com/definition/english/freely,свободно,libremente,frei,volně
frequency,https://www.oxfordlearnersdictionaries.com/definition/english/frequency,частота,frecuencia,Frequenz,frekvence
frequent,https://www.oxfordlearnersdictionaries.com/definition/english/frequent_1,частый,frecuente,häufig,časté
fuel,https://www.oxfordlearnersdictionaries.com/definition/english/fuel_2,топливо,combustible,Treibstoff,pohonné hmoty
fulfil,https://www.oxfordlearnersdictionaries.com/definition/english/fulfil,выполнить,realizar,erfüllen,splnit
full-time,https://www.oxfordlearnersdictionaries.com/definition/english/full-time_2,на постоянной основе,tiempo completo,Vollzeit,plný úvazek
full-time,https://www.oxfordlearnersdictionaries.com/definition/english/full-time_2,на постоянной основе,tiempo completo,Vollzeit,plný úvazek
fully,https://www.oxfordlearnersdictionaries.com/definition/english/fully,полностью,completamente,völlig,plně
function,https://www.oxfordlearnersdictionaries.com/definition/english/function_2,функция,función,Funktion,funkce
fund,https://www.oxfordlearnersdictionaries.com/definition/english/fund_1,фонд,fondo,Fonds,fond
fund,https://www.oxfordlearnersdictionaries.com/definition/english/fund_2,фонд,fondo,Fonds,fond
fundamental,https://www.oxfordlearnersdictionaries.com/definition/english/fundamental_1,фундаментальный,fundamental,grundlegend,základní
fundamentally,https://www.oxfordlearnersdictionaries.com/definition/english/fundamentally,в корне,fundamentalmente,grundsätzlich,zásadně
funding,https://www.oxfordlearnersdictionaries.com/definition/english/funding,финансирование,fondos,Finanzierung,financování
furious,https://www.oxfordlearnersdictionaries.com/definition/english/furious,яростный,furioso,wütend,zuřivý
furthermore,https://www.oxfordlearnersdictionaries.com/definition/english/furthermore,более того,además,Außerdem,dále
gain,https://www.oxfordlearnersdictionaries.com/definition/english/gain_2,усиление,ganar,gewinnen,získat
gain,https://www.oxfordlearnersdictionaries.com/definition/english/gain_1,усиление,ganar,gewinnen,získat
